V_app,L,k_fac,dT_max,Pin
0.075172414,0.01,1,72.01615618,61.68232042
0.077931034,0.01,1,75.11814635,66.72394482
0.080689655,0.01,1,78.36662495,72.01308267
0.02,0.001,1.2,49.67161998,40.17400711
0.083448276,0.01,1,81.75714399,77.55728794
0.086206897,0.01,1,85.28569899,83.36447893
0.022758621,0.001,1.2,49.69650866,52.08739493
0.025517241,0.001,1.2,49.72418931,65.57455158
0.028275862,0.001,1.2,49.75457539,80.64885013
0.031034483,0.001,1.2,49.78758308,97.32523744
0.033793103,0.001,1.2,49.82313114,115.6202493
0.088965517,0.01,1,88.94914665,89.44294917
0.036551724,0.001,1.2,49.86114083,135.5520267
0.039310345,0.001,1.2,49.90153589,157.1403338
0.091724138,0.01,1,92.74430326,95.80138049
0.042068966,0.001,1.2,49.94424239,180.4065777
0.044827586,0.001,1.2,49.98918871,205.3738301
0.047586207,0.001,1.2,50.12377545,232.0668499
0.050344828,0.001,1.2,50.60763744,260.5121076
0.053103448,0.001,1.2,51.41168369,290.7378127
0.055862069,0.001,1.2,52.49162199,322.7739408
0.05862069,0.001,1.2,53.80676239,356.6522642
0.094482759,0.01,1,96.66839245,102.4488544
0.06137931,0.001,1.2,55.33949779,392.4063831
0.064137931,0.001,1.2,57.06812796,430.0717596
0.066896552,0.001,1.2,58.96772838,469.6857529
0.069655172,0.001,1.2,61.04389551,511.2876567
0.072413793,0.001,1.2,63.27268236,554.9187386
0.075172414,0.001,1.2,65.64790563,600.6222811
0.077931034,0.001,1.2,68.16373132,648.4436252
0.080689655,0.001,1.2,70.81338084,698.4302157
0.083448276,0.001,1.2,73.58907555,750.631649
0.086206897,0.001,1.2,76.49612034,805.0997227
0.088965517,0.001,1.2,79.53031695,861.8884874
0.097241379,0.01,1,100.7190527,109.3948648
0.091724138,0.001,1.2,82.67101052,921.0543016
0.094482759,0.001,1.2,85.93946213,982.6558878
0.097241379,0.001,1.2,89.31609272,1046.754392
0.02,0.001310345,1.2,49.75059684,30.65912601
0.022758621,0.001310345,1.2,49.76949936,39.75093221
0.025517241,0.001310345,1.2,49.79052228,50.04377686
0.1,0.001,1.2,92.80521914,1113.413446
0.028275862,0.001310345,1.2,49.81359988,61.54786673
0.1,0.01,1,104.8940874,116.6493322
0.031034483,0.001310345,1.2,49.83866849,74.27460975
0.033793103,0.001310345,1.2,49.86566639,88.23662651
0.036551724,0.001310345,1.2,49.89453379,103.4477625
0.039310345,0.001310345,1.2,49.92521275,119.9231022
0.042068966,0.001310345,1.2,49.95764711,137.6789839
0.044827586,0.001310345,1.2,49.99178249,156.7330158
0.047586207,0.001310345,1.2,50.1228144,177.1040939
0.050344828,0.001310345,1.2,50.60850805,198.8124206
0.053103448,0.001310345,1.2,51.41233883,221.8795247
0.055862069,0.001310345,1.2,52.48980427,246.3282828
0.05862069,0.001310345,1.2,53.80714886,272.1829424
0.06137931,0.001310345,1.2,55.33731843,299.4691459
0.064137931,0.001310345,1.2,57.06487962,328.2139558
0.066896552,0.001310345,1.2,58.96961693,358.445882
0.069655172,0.001310345,1.2,61.03778373,390.1949103
0.072413793,0.001310345,1.2,63.26844387,423.4925319
0.075172414,0.001310345,1.2,65.63916157,458.3717751
0.077931034,0.001310345,1.2,68.15683378,494.8672381
0.080689655,0.001310345,1.2,70.80824996,533.0151234
0.083448276,0.001310345,1.2,73.58856622,572.8532745
0.086206897,0.001310345,1.2,76.49407158,614.4212128
0.088965517,0.001310345,1.2,79.52054664,657.7601779
0.091724138,0.001310345,1.2,82.66323865,702.9131684
0.094482759,0.001310345,1.2,85.92988108,749.9249848
0.097241379,0.001310345,1.2,89.30984221,798.8422749
0.02,0.00162069,1.2,49.79687761,24.78823523
0.1,0.001310345,1.2,92.79448599,849.7135799
